close,high,low,open,tic,trade_count,volume,vwap
395.91,400.81,395.11,399.09,SPY,441562.0,68021749.0,397.879662
395.23,397.3,393.3,396.05,SPY,421324.0,52310039.0,395.175765
407.68,407.68,393.48,395.49,SPY,814133.0,144566653.0,401.786807
407.38,410.0,404.75,408.77,SPY,600444.0,76398170.0,407.369627
406.91,407.86,402.14,402.25,SPY,573028.0,85266739.0,405.102367
399.59,404.93,398.17,403.95,SPY,553485.0,77289815.0,401.47209
393.83,399.99,391.64,399.42,SPY,613994.0,77972217.0,394.834705
393.16,395.64,391.97,392.94,SPY,486280.0,65927896.0,393.437192
396.24,397.36,393.2684,395.14,SPY,463709.0,60737912.0,395.706284
393.28,397.62,393.15,394.94,SPY,483853.0,81353584.0,395.189653
398.95,398.95,393.412,394.11,SPY,442294.0,75405835.0,396.178768
401.97,410.49,399.07,410.22,SPY,894907.0,123782534.0,403.567884
399.4,405.5,396.31,401.61,SPY,851107.0,108111349.0,401.124905
389.63,395.25,387.885,394.3,SPY,851158.0,117705889.0,390.892317
383.27,386.575,381.04,385.18,SPY,744379.0,118935616.0,383.751394
380.02,383.82,378.28,383.47,SPY,521301.0,79878103.0,380.60288
380.54,382.23,377.85,379.23,SPY,513483.0,74427240.0,380.629986
386.23,387.41,382.69,383.25,SPY,478300.0,78167369.0,385.471021
380.72,386.2134,374.77,383.05,SPY,679690.0,100120855.0,379.622433
382.91,383.06,378.03,379.65,SPY,440048.0,59746356.0,381.523921
381.4,383.15,379.65,382.79,SPY,429000.0,51638180.0,381.775198
376.66,383.39,376.42,381.33,SPY,503138.0,70911520.0,379.058954
383.44,384.35,379.08,379.63,SPY,481641.0,66970877.0,382.437058
382.43,382.58,378.43,380.64,SPY,547366.0,83957691.0,381.217102
